num,admiration,adoration,aesthetic_appreciation,amusement,anger,anxiety,awe,awkwardness,boredom,calmness,confusion,contempt,craving,disappointment,disgust,empathic_pain,entrancement,envy,excitement,fear,guilt,horror,interest,joy,nostalgia,pride,relief,romance,sadness,satisfaction,sexual_desire,surprise,sympathy,triumph,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
318,0.0,0.0,0.38462,0.076923,0.0,0.0,0.0,0.0,0.076923,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.30769,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5556,6.0,5.5556,5.0,4.4444,4.3333,5.4444,3.4444,5.3333,4.1111,4.0,5.0,5.6667,5.3333
319,0.23077,0.46154,0.0,0.076923,0.0,0.0,0.23077,0.0,0.038462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.076923,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.076923,0.0,6.7778,5.7778,5.8889,6.6667,6.5556,8.2222,5.5556,1.5556,7.1111,5.2222,1.6667,6.2222,6.5556,7.7778
320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.11538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26923,0.0,0.0,0.84615,0.0,0.0,0.0,6.8889,7.4444,7.0,7.5556,6.8889,7.7778,6.2222,2.2222,6.8889,5.6667,1.8889,6.6667,6.4444,7.3333
321,0.0,0.15385,0.0,0.23077,0.0,0.0,0.23077,0.0,0.15385,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30769,0.0,0.0,4.6667,6.7778,6.7778,6.2222,5.7778,6.0,5.4444,1.7778,6.3333,4.4444,2.7778,5.5556,7.4444,7.8889
322,0.15385,0.38462,0.0,0.0,0.0,0.0,0.076923,0.0,0.076923,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.23077,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6667,6.1111,6.4444,5.6667,7.1111,8.3333,4.5556,1.2222,7.0,6.1111,2.6667,7.2222,6.7778,7.8889
323,0.0,0.076923,0.15385,0.30769,0.0,0.076923,0.23077,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23077,0.0,0.0,0.0,0.076923,0.076923,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,6.7778,6.3333,7.1111,6.2222,6.2222,7.2222,5.3333,1.5556,6.4444,4.6667,2.5556,6.2222,7.3333,7.3333
324,0.0,0.0,0.0,0.26923,0.0,0.30769,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538,0.23077,0.0,0.15385,0.0,0.076923,0.0,0.0,0.23077,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,3.3333,7.0,6.4444,4.4444,5.1111,3.6667,4.7778,3.2222,4.4444,5.0,4.1111,2.7778,4.6667,4.0
325,0.076923,0.0,0.11538,0.076923,0.0,0.0,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38462,0.076923,0.15385,0.0,0.0,0.0,0.19231,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.0,0.0,0.0,0.076923,7.0,6.6667,7.6667,6.3333,5.2222,8.1111,5.7778,2.4444,7.5556,6.1111,1.7778,7.0,7.6667,7.3333
326,0.0,0.0,0.076923,0.38462,0.0,0.076923,0.076923,0.076923,0.0,0.0,0.076923,0.0,0.0,0.0,0.076923,0.15385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15385,0.15385,0.0,2.4444,4.6667,6.1111,4.3333,4.6667,3.1111,4.5556,5.0,4.4444,3.8889,4.6667,4.1111,3.8889,3.8889
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.57692,0.0,0.0,0.46154,0.0,0.0,0.0,6.4444,6.6667,5.5556,6.4444,4.6667,7.1111,5.0,3.5556,5.7778,4.3333,3.3333,5.6667,7.2222,5.8889
