num,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
855,2.6667,5.4444,6.6667,4.6667,5.4444,3.1111,5.2222,4.3333,3.2222,5.1111,4.4444,3.4444,4.6667,2.8889
856,2.7778,6.0,6.4444,4.6667,5.2222,2.0,4.3333,4.1111,2.7778,4.6667,3.0,2.8889,2.2222,2.3333
857,2.8889,4.5556,5.1111,4.7778,5.0,4.0,4.0,3.4444,5.0,4.8889,3.7778,5.2222,3.7778,2.2222
858,7.2222,5.7778,5.8889,6.6667,7.3333,7.6667,5.2222,2.6667,7.0,6.0,3.0,5.4444,6.3333,6.8889
859,6.7778,5.7778,6.5556,6.3333,6.6667,6.7778,4.4444,2.8889,6.2222,6.0,2.4444,6.2222,7.4444,7.2222
860,5.4444,5.0,7.0,4.7778,6.3333,5.2222,5.1111,3.1111,4.1111,6.7778,4.2222,5.0,4.6667,3.6667
861,2.5556,6.0,6.3333,4.3333,6.3333,3.4444,3.4444,5.0,2.4444,5.5556,4.5556,1.7778,3.2222,1.7778
862,5.6667,6.1111,6.1111,5.6667,5.7778,6.8889,5.8889,3.4444,5.8889,5.0,2.4444,5.3333,7.1111,6.6667
863,2.3333,4.7778,5.2222,3.4444,3.2222,4.2222,3.7778,5.1111,5.1111,2.7778,3.4444,4.6667,3.8889,3.1111
864,5.0,4.7778,6.3333,5.5556,5.4444,5.8889,4.7778,2.8889,5.8889,5.1111,3.0,6.2222,5.4444,5.8889
865,1.3333,6.0,6.0,4.5556,3.2222,3.8889,2.8889,6.8889,4.8889,2.6667,4.2222,3.1111,2.6667,1.7778
866,1.0,7.1111,7.1111,4.2222,6.8889,1.1111,2.2222,6.7778,1.5556,5.3333,6.1111,1.3333,1.0,1.0
867,5.2222,3.7778,5.3333,5.7778,5.2222,7.2222,4.6667,1.6667,6.5556,4.4444,2.5556,6.4444,6.2222,5.3333
868,7.4444,5.3333,6.5556,6.6667,6.2222,8.6667,5.7778,2.1111,6.8889,6.6667,3.5556,7.3333,6.8889,7.2222
869,1.3333,7.3333,6.4444,5.1111,6.3333,1.5556,4.6667,7.8889,3.6667,4.1111,4.2222,1.6667,2.4444,2.1111
870,5.0,4.6667,6.3333,4.5556,4.1111,7.0,4.4444,3.3333,5.8889,4.0,3.2222,4.8889,6.0,5.7778
871,1.7778,7.1111,7.2222,4.3333,3.6667,2.2222,5.0,3.1111,5.4444,2.8889,4.0,2.1111,4.4444,4.6667
872,3.3333,4.4444,4.7778,5.1111,5.3333,4.6667,4.0,3.4444,4.6667,5.1111,4.0,5.3333,4.7778,4.3333
873,4.5556,4.1111,4.7778,5.2222,5.5556,7.2222,4.6667,3.5556,7.0,4.6667,3.1111,6.5556,6.7778,5.2222
874,2.6667,5.4444,5.4444,4.6667,6.1111,4.3333,4.2222,6.7778,2.4444,1.8889,4.2222,3.0,2.5556,1.8889
875,4.6667,6.5556,6.7778,4.2222,4.1111,7.2222,5.2222,3.5556,5.8889,3.8889,3.5556,5.0,6.3333,6.3333
876,1.1111,3.1111,3.8889,4.1111,4.1111,5.2222,3.0,6.1111,4.7778,3.3333,3.3333,3.6667,3.0,1.6667
877,3.5556,5.1111,5.3333,3.6667,4.1111,2.3333,4.2222,4.7778,2.3333,3.1111,4.1111,2.4444,1.7778,1.8889
878,6.6667,5.6667,5.6667,5.7778,4.5556,7.8889,5.5556,2.2222,6.5556,3.2222,2.6667,5.7778,5.8889,6.4444
879,4.3333,5.8889,5.5556,5.3333,4.7778,5.3333,5.7778,2.5556,3.7778,4.7778,3.0,5.1111,5.7778,6.0
880,7.7778,5.0,6.2222,7.8889,4.6667,7.4444,5.1111,2.0,6.7778,4.6667,2.2222,6.3333,6.2222,6.7778
881,5.3333,5.5556,5.8889,4.2222,3.6667,6.5556,4.8889,3.3333,5.7778,3.8889,4.3333,3.7778,5.4444,5.5556
882,5.7778,5.3333,5.8889,4.3333,5.0,4.7778,6.2222,2.2222,3.3333,3.7778,3.8889,4.7778,4.2222,4.7778
883,7.4444,6.0,5.8889,6.7778,3.5556,6.8889,4.7778,1.4444,6.3333,4.4444,2.6667,6.7778,5.8889,6.6667
884,7.6667,5.6667,6.1111,6.7778,4.5556,7.3333,4.3333,2.1111,6.6667,4.6667,2.4444,6.7778,6.8889,7.3333
